# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.11.2
#@/tick	396
#@/user_id	f9a10588-a24c-4f10-87a6-4376768506f6
a 	啊	c=4 d=1.73978 t=396
ai 	愛	c=0 d=0.1 t=69
ai ji fa 	艾吉法	c=0 d=0.1 t=67
ba 	吧	c=1 d=0.873716 t=396
bao zheng 	保證	c=3 d=2.11243 t=335
bao zheng de 	保證的	c=1 d=1 t=254
bei 	被	c=2 d=1.98511 t=176
ben shen 	本身	c=1 d=1 t=355
beng kui 	崩潰	c=2 d=1.90032 t=161
bian cheng 	變成	c=2 d=1.97531 t=53
bian cheng le 	變成了	c=1 d=1 t=62
bian hua 	變化	c=2 d=1.90256 t=396
biao 	表	c=1 d=1 t=381
bu 	不	c=1 d=0.500517 t=355
bu chong 	補充	c=1 d=1 t=283
bu cun chu 	不存儲	c=1 d=1 t=356
bu gao xing 	不高興	c=1 d=1 t=295
bu hao shuo 	不好說	c=1 d=1 t=129
bu hui 	不會	c=3 d=2.57885 t=203
bu rong yi 	不容易	c=1 d=1 t=364
bu shi 	不是	c=1 d=1 t=345
bu xie 	不寫	c=0 d=0.1 t=299
bu xie le 	不寫了	c=1 d=1 t=300
bu xing 	不行	c=2 d=1.95123 t=82
cai hui 	纔會	c=1 d=1 t=383
can shu 	參數	c=2 d=1.83946 t=231
cao zuo 	操作	c=2 d=1.89137 t=178
cha ru 	插入	c=1 d=1 t=336
cha xun 	查詢	c=1 d=1.09465 t=392
cha xun shi 	查詢時	c=1 d=1 t=382
chao 	超	c=1 d=1 t=63
cheng gong 	成功	c=3 d=2.31407 t=278
chu fei 	除非	c=1 d=1 t=296
chu xian 	出現	c=7 d=3.00308 t=384
ci pan 	磁盤	c=1 d=1 t=250
cou huo 	湊或	c=1 d=0.88692 t=396
cun chu 	存儲	c=0 d=0.1 t=355
da da 	大大	c=1 d=1 t=41
dai 	待	c=1 d=1 t=282
dai ping 	帶瓶	c=1 d=1 t=271
dan shi 	但是	c=4 d=1.17085 t=396
dang 	當	c=1 d=1 t=164
dang qian 	當前	c=1 d=1 t=274
de 	的	c=20 d=10.3279 t=393
de hua 	的話	c=1 d=1 t=80
de ma 	的嗎	c=1 d=1 t=118
di shang 	地上	c=1 d=1 t=266
dian hua ji 	電話機	c=1 d=1 t=75
diao du 	調度	c=1 d=1 t=319
dou 	都	c=0 d=0.1 t=182
dou shi 	都是	c=1 d=1 t=215
dou zhe dian 	都這點	c=1 d=1 t=183
dui lie 	隊列	c=1 d=1 t=86
dui yu 	對於	c=1 d=1 t=350
duo hang 	多行	c=1 d=1 t=320
duo jiu 	多久	c=0 d=0.1 t=256
duo le 	多了	c=2 d=1.98511 t=95
duo wen 	多文	c=0 d=0.1 t=329
duo wen jian 	多文件	c=1 d=1 t=330
er ji 	二际	c=0 d=0.1 t=350
er ji suo yin 	二际索引	c=1 d=1 t=351
fa 	發	c=1 d=1 t=43
fa dian suo 	發電所	c=0 d=0.0965605 t=396
fang da 	方大	c=1 d=1.09656 t=396
fang da fa dian suo 	方大發電所	c=1 d=0.970446 t=396
fang da ji 	放大級	c=3 d=0.909373 t=396
fang da ji ai 	放大級愛	c=1 d=1.06561 t=77
fang da ji ai ji 	放大級愛及	c=1 d=1 t=78
